company,product,month,quantity,value
Bhavani Industries,BROWN TAPE [BOPP],2026-05,288.0,10000.0
Bhavani Industries,CHROMO-PAPER-50GSM-1005MM,2026-03,740.0,78440.0
Bhavani Industries,CHROMO-PAPER-50GSM-920MM,2026-03,741.0,72988.5
Bhavani Industries,CORE PLUGS,2026-05,11.2,627.2
Bhavani Industries,CORRUGATED ROLL SHEET 2 PLY,2026-05,19.0,1140.0
Bhavani Industries,FRESH EMPIY CORE PIPE,2026-03,109.0,3597.0
Bhavani Industries,HDPE F46003,2026-05,500.0,75500.0
Bhavani Industries,JAY AMBE POLYMERS,2026-06,4180.0,48800.0
Bhavani Industries,KRAFT PAPER,2025-10,3862.0,232525.0
Bhavani Industries,KRAFT PAPER,2025-12,8361.0,625006.0
Bhavani Industries,KRAFT PAPER,2026-01,6241.0,461834.0
Bhavani Industries,KRAFT PAPER,2026-02,9700.0,742050.0
Bhavani Industries,KRAFT PAPER,2026-03,7769.0,648711.5
Bhavani Industries,KRAFT PAPER,2026-04,9746.0,813791.0
Bhavani Industries,KRAFT PAPER,2026-05,16986.0,1418331.0
Bhavani Industries,L PATTI PAPER,2026-05,32.2,966.0
Bhavani Industries,LD FILM 28MIC X 1230MM,2025-09,7607.0,886215.5
Bhavani Industries,LD FILM 28MIC X 1230MM,2025-10,3724.5,428317.5
Bhavani Industries,LD FILM 28MIC X 1250MM,2025-09,9701.4,1130213.1
Bhavani Industries,LD FILM 28MIC X 1250MM,2025-10,4408.8,507012.0
Bhavani Industries,LDPE J1020FF20,2026-05,500.0,82750.0
Bhavani Industries,LDPE J24FA040,2025-09,1000.0,120000.0
Bhavani Industries,LDPE J24FS040,2026-05,500.0,80250.0
Bhavani Industries,LDPE Sheets Poly Film - White,2026-02,1127.8,139283.3
Bhavani Industries,LDPE Sheets Poly Film - White,2026-03,6650.6,1049025.1
Bhavani Industries,LDPE Sheets Poly Film - White,2026-04,942.4,154270.0
Bhavani Industries,LDPE Sheets Poly Film - White,2026-05,4966.8,779488.8
Bhavani Industries,LDPE Sheets Poly Film-Natural,2026-02,18061.2,2026394.5
Bhavani Industries,LDPE Sheets Poly Film-Natural,2026-03,24241.9,3276632.6
Bhavani Industries,LDPE Sheets Poly Film-Natural,2026-04,85804.5,13800083.9
Bhavani Industries,LDPE Sheets Poly Film-Natural,2026-05,92215.42,13186928.71
Bhavani Industries,MASTER BATCH,2026-05,1075.0,41687.5
Bhavani Industries,PAPER CORE,2026-05,150.0,6000.0
Bhavani Industries,PLAIN FILM OF PLASTICS,2025-09,3995.1,465429.15
Bhavani Industries,PLAIN FILM OF PLASTICS,2025-10,8282.3,958631.3
Bhavani Industries,PLAIN FILM OF PLASTICS,2025-11,32413.6,3679027.8
Bhavani Industries,PLAIN FILM OF PLASTICS,2025-12,64923.5,7326121.1
Bhavani Industries,PLAIN FILM OF PLASTICS,2026-01,23115.7,2459990.1999999997
