month,company,product,quantity,value,rate,quantity_lag1,quantity_lag2,quantity_lag3,quantity_rolling_mean_3,quantity_overall_avg,rate_lag1,rate_lag2,rate_lag3,rate_rolling_mean_3,rate_overall_avg,month_num,quarter,n_prior_months
2026-05,Bhavani Industries,BROWN TAPE [BOPP],288.0,10000.0,34.72222222222222,,,,,,,,,,,5,2,0
2026-03,Bhavani Industries,CHROMO-PAPER-50GSM-1005MM,740.0,78440.0,106.0,,,,,,,,,,,3,1,0
2026-03,Bhavani Industries,CHROMO-PAPER-50GSM-920MM,741.0,72988.5,98.5,,,,,,,,,,,3,1,0
2026-05,Bhavani Industries,CORE PLUGS,11.2,627.2,56.00000000000001,,,,,,,,,,,5,2,0
2026-05,Bhavani Industries,CORRUGATED ROLL SHEET 2 PLY,19.0,1140.0,60.0,,,,,,,,,,,5,2,0
2026-03,Bhavani Industries,FRESH EMPIY CORE PIPE,109.0,3597.0,33.0,,,,,,,,,,,3,1,0
2026-05,Bhavani Industries,HDPE F46003,500.0,75500.0,151.0,,,,,,,,,,,5,2,0
2026-06,Bhavani Industries,JAY AMBE POLYMERS,4180.0,48800.0,11.674641148325358,,,,,,,,,,,6,2,0
2025-10,Bhavani Industries,KRAFT PAPER,3862.0,232525.0,60.20844122216468,,,,,,,,,,,10,4,0
2025-11,Bhavani Industries,KRAFT PAPER,6111.5,428765.5,70.15716272600835,3862.0,3862.0,3862.0,3862.0,3862.0,60.20844122216468,60.20844122216468,60.20844122216468,60.20844122216468,60.20844122216468,11,4,1
2025-12,Bhavani Industries,KRAFT PAPER,8361.0,625006.0,74.75254156201412,6111.5,3862.0,3862.0,4611.833333333333,4986.75,70.15716272600835,60.20844122216468,60.20844122216468,63.5246817234459,65.18280197408652,12,4,2
2026-01,Bhavani Industries,KRAFT PAPER,6241.0,461834.0,74.0,8361.0,6111.5,3862.0,6111.5,6111.5,74.75254156201412,70.15716272600835,60.20844122216468,68.37271517006238,68.37271517006239,1,1,3
2026-02,Bhavani Industries,KRAFT PAPER,9700.0,742050.0,76.5,6241.0,8361.0,6111.5,6904.5,6143.875,74.0,74.75254156201412,70.15716272600835,72.96990142934082,69.77953637754679,2,1,4
